kinase,SK6.AT13148,JAK2.AZD1480,AKT.AZD5363,CDK.AZD5438,PI3k.AZD6482,mTOR.AZD8055,CK2.CX4945,BRAF.Dabrafenib,TKI.Dasatinib,ERK.GDC0994,AKT.GSK690693,cMET.JNJ38877605,CDK.LEE011,SK6.LY2584702,CDK.LY2835219,AKT.MK2206,TKI.MP470,PAK.PF3758309,P38.PH797804,ROCK.Ripasudil,JAK2.Tofacitinib,MEK.Trametinib,ERK.Ulixertinib,BRAF.Vemurafenib,AKT.AZD5363,AKT.GDC0068,CDK12.AZD5438,CDK46.LY2835219,CK2.CX4945,EGFR.AZD3759,ERK.GDC0994,GSK3.LY2090314,JAK2.AZD1480,JNK.JNKIN8,MEK.Trametinib,mTOR.AZD8055,p70S6K.LY2584702,PAK.PF3758309,PDK1.GSK2334470,PI3K.GDC0941,PI3K.HS173,PKC.GF109203X,PKC.Go6976,PKC.Go6983,TKI.MP470,p110?.AZD6482,p110?.CAL101,p110?/?.GDC0941,p110?.HS173,p110?.PIK294,p110?.TGX221,CDK129.AZD5438,PAK.FRAX486,mTORC12.Ku0063794,mTORC12.Torin1,PDK1.BX912,GSK3AB.CHIR99021,GSK3AB.LY2090314,MEK1.AZD6244,ROCK2.KD025,ROCK12.Ripasudil
PAK6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.37E-05,1,1,1,1,1,1,0.85492228,1,0.989974937,0.62,0.82,1,1,1,0.72,0.91,0.99,0.94,0.97,0.29,0.958506224,1,0.87,0.91,0.87,0.859719439,0.98,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
CDK7,1,1,1,0.036647712,1,1,0.111968029,1,1,1,1,1,1,1,1,1,1,2.59E-05,1,1,1,1,1,1,0.937823834,1,0.167919799,0.12,0.17,0.969834087,1,0.71,0.81,0.86,0.88,0.91,1,0.016,1,1,0.96,0.56,0.85,0.488977956,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS6KA6,1,1,1,1,1,1,0.053804522,1,1,1,1,1,1,1,1,1,1,4.04E-05,1,1,1,1,1,1,0.730569948,1,0.869674185,0.78,0.44,0.678230266,0.62962963,0.74,1,1,1,0.94,0.078,0.0035,0.885892116,0.92,0.94,0.018,0.52,0.188376754,0.74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRKAA1,1,1,0.02861286,1,1,1,0.24189317,1,1,1,1,1,1,1,1,1,1,8.02E-05,1,0.05136683,1,1,1,1,0.844559585,1,1,0.81,0.63,0.989944696,1,0.93,0.55,0.95,0.93,0.92,0.94,0.041,0.958506224,1,0.86,0.87,0.9,0.97995992,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CLK4,1,1,0.008056079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000185353,1,1,1,1,1,1,0.512953368,1,0.769423559,0.031,0.16,0.959778783,0.96996997,1,1,1,1,1,1,0.23,0.076763485,0.96,0.92,0.42,0.74,0.308617234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CDK17,1,1,1,1,1,1,1,0.000554858,1,1,1,1,1,1,1,1,1,0.000198432,1,1,1,1,1,1,1,1,0.69924812,0.43,1,1,0.98998999,1,0.82,1,1,1,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PHKG2,1,1,1,1,1,1,0.055075299,1,1,1,1,1,1,1,1,1,1,0.000818006,1,1,1,1,1,1,0.917098446,1,0.979949875,0.46,0.021,0.718451483,1,0.79,0.53,0.85,0.91,0.89,1,0.15,0.761410788,1,0.7,0.75,0.61,0.719438878,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MELK,1,1,1,1,1,1,1,0.028530215,1,1,1,1,1,1,1,1,1,0.000880993,1,1,1,1,1,1,0.989637306,1,0.819548872,0.78,0.63,0.869281046,1,1,0.94,0.8,0.81,0.87,0.98,0.27,0.522821577,0.98,0.62,0.66,0.35,0.93987976,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAK4,1,0.029604686,1,1,1,1,1,1,1,1,0.000753881,1,1,1,1,1,1,0.001106407,1,1,1,1,1,1,0.823834197,1,0.829573935,0.67,0.83,0.989944696,0.96996997,0.93,0.76,0.87,0.8,0.94,1,0.066,0.875518672,1,0.99,0.75,0.8,0.769539078,0.98,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
PRKCQ,1,1,0.066737731,1,1,1,1,1,0.011160088,1,0.000136208,1,1,1,1,1,1,0.001315965,1,1,1,1,1,1,0.813471503,1,0.598997494,0.95,0.9,1,1,0.93,0.94,0.79,0.78,0.96,1,0.2,0.854771784,1,0.9,0.078,0.76,0.075150301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CLK1,1,1,1,1,1,1,0.00020374,1,1,1,1,1,1,1,8.84E-05,1,1,0.001392338,1,1,1,1,1,1,0.689119171,1,0.80952381,0.032,0.035,1,1,0.9,1,0.98,0.86,0.96,0.99,0.045,0.937759336,0.97,0.85,0.4,0.87,0.258517034,0.57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS6KA3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001563262,1,1,1,1,1,1,0.803108808,0.47,1,0.9,0.52,0.859225742,0.86986987,1,1,1,1,1,1,0.013,0.84439834,1,1,0.21,0.66,0.448897796,0.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MARK3,1,1,1,1,1,1,1,1,1,1,0.003188685,1,1,1,1,1,1,0.001631299,1,0.915517251,0.169471734,1,1,1,1,1,1,1,0.92,1,1,1,1,1,0.99,1,1,0.32,1,1,1,0.96,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS6KA4,1,1,1,1,1,1,1,1,1,1,0.013369776,1,1,1,1,1,1,0.001735664,1,1,1,1,1,1,0.968911917,0.38,0.959899749,0.34,0.6,0.607843137,0.72972973,1,1,1,1,0.99,0.95,0.081,1,0.84,0.7,0.86,0.72,1,0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MARK2,1,1,1,1,1,1,0.050044465,1,1,1,0.005499891,1,1,1,1,1,1,0.001770976,1,0.094576651,0.10414815,1,1,1,0.958549223,1,0.829573935,0.9,0.77,1,0.80980981,0.79,0.86,0.69,0.94,0.81,0.96,0.14,0.958506224,1,0.72,0.97,0.75,0.849699399,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LATS1,0.00040225,1,0.22168415,1,1,1,1,1,1,1,0.001148771,1,1,1,1,1,1,0.00245561,1,1,1,1,1,1,0.678756477,1,0.879699248,0.73,0.77,0.829059829,1,0.82,0.97,0.86,0.83,0.93,0.92,0.71,0.782157676,0.92,0.89,0.98,0.58,0.929859719,0.86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FGFR1,1,0.012196232,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003254546,1,1,1,1,1,1,0.730569948,1,0.859649123,0.89,0.92,1,0.92992993,0.97,0.065,1,0.94,0.9,0.002,0.49,0.885892116,1,1,0.038,0.61,0.779559118,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRKD2,1,1,0.035288564,0.036366452,1,1,1,0.000519326,1,1,1,1,0.393285851,1,0.032425148,1,1,0.003817878,1,0.058189475,1,1,0.099593709,1,1,1,1,0.8,1,1,0.95995996,1,1,1,1,0.98,0.93,0.58,1,1,0.97,1,0.74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
